n, m, tiempoTotal
495, 0, 63874632
496, 0, 64041960
497, 0, 71240055
498, 0, 83465931
499, 0, 66578297
500, 0, 65119728
501, 0, 65253365
502, 0, 65886854
503, 0, 65807940
504, 0, 66439327
505, 0, 66372126
506, 0, 72667294
507, 0, 67030228
508, 0, 73250023
509, 0, 99183664
510, 0, 69864460
511, 0, 67918220
512, 0, 68537955
513, 0, 68646938
514, 0, 69072732
515, 0, 69647283
516, 0, 69311897
517, 0, 71443348
518, 0, 70333907
519, 0, 71202983
520, 0, 73227283
521, 0, 74302731
522, 0, 73764451
523, 0, 74114269
524, 0, 74331780
525, 0, 74263073
526, 0, 74217564
527, 0, 75531501
528, 0, 77049005
529, 0, 76198353
530, 0, 79565693
531, 0, 77469270
532, 0, 74899167
533, 0, 75069118
534, 0, 76032349
535, 0, 76703879
536, 0, 75021499
537, 0, 75521380
538, 0, 80881404
539, 0, 79492674
540, 0, 76410004
541, 0, 78252288
542, 0, 84607084
543, 0, 78559832
544, 0, 78686414
545, 0, 79624240
546, 0, 78345023
547, 0, 79795226
548, 0, 81183160
549, 0, 78524568
550, 0, 81954332
551, 0, 82754305
552, 0, 80030923
553, 0, 81164942
554, 0, 83515426
555, 0, 87887934
556, 0, 80964712
557, 0, 81711647
558, 0, 81069865
559, 0, 82340491
560, 0, 90146417
561, 0, 83237811
562, 0, 82654634
563, 0, 83266043
564, 0, 86629831
565, 0, 86144621
566, 0, 87105575
567, 0, 83697811
568, 0, 82958834
569, 0, 83811529
570, 0, 84473902
571, 0, 83698483
572, 0, 85185100
573, 0, 84677484
574, 0, 88260880
575, 0, 85087417
576, 0, 86212287
577, 0, 87482730
578, 0, 89995239
579, 0, 91630618
580, 0, 88485456
581, 0, 88306854
582, 0, 89276420
583, 0, 87457875
584, 0, 90807004
585, 0, 87790003
586, 0, 89821530
587, 0, 89486585
588, 0, 88496901
589, 0, 89090661
590, 0, 89110803
591, 0, 90397942
592, 0, 94029839
593, 0, 92749859
594, 0, 105991135
595, 0, 95383921
596, 0, 105155207
597, 0, 114193414
598, 0, 98108892
599, 0, 97888966
600, 0, 103802453
601, 0, 97249346
602, 0, 101917488
603, 0, 104943847
604, 0, 98966140
605, 0, 97924262
606, 0, 97379587
607, 0, 97518808
608, 0, 99839892
609, 0, 100046492
610, 0, 103857464
611, 0, 129543665
612, 0, 102544034
613, 0, 103233545
614, 0, 102216912
615, 0, 99714612
616, 0, 100940800
617, 0, 100297842
618, 0, 99448953
619, 0, 99409326
620, 0, 102979841
621, 0, 111404664
622, 0, 100926137
623, 0, 104977147
624, 0, 108844227
625, 0, 104971053
626, 0, 102818309
627, 0, 104421376
628, 0, 102788604
629, 0, 103493031
630, 0, 115607283
631, 0, 118864331
632, 0, 119544662
633, 0, 120381224
634, 0, 112843500
635, 0, 106229473
636, 0, 106428828
637, 0, 109678157
638, 0, 109562327
639, 0, 112373287
640, 0, 114084002
641, 0, 109454571
642, 0, 112117265
643, 0, 111818668
644, 0, 116609574
645, 0, 118411985
646, 0, 111723934
647, 0, 111973374
648, 0, 128545917
649, 0, 131723803
650, 0, 115532204
651, 0, 134179254
652, 0, 116419396
653, 0, 115961916
654, 0, 117259045
655, 0, 116467816
656, 0, 119546748
657, 0, 171286155
658, 0, 139689012
659, 0, 121362324
660, 0, 117875356
661, 0, 123142485
662, 0, 136810549
663, 0, 118675362
664, 0, 119401214
665, 0, 120717191
666, 0, 120229007
667, 0, 117959882
668, 0, 120851890
669, 0, 121159979
670, 0, 119975344
671, 0, 122815585
672, 0, 122062079
673, 0, 146124592
674, 0, 121237831
675, 0, 120087213
676, 0, 118589251
677, 0, 117888651
678, 0, 119509730
679, 0, 118680300
680, 0, 127621663
681, 0, 129126918
682, 0, 127695331
683, 0, 139064211
684, 0, 127498757
685, 0, 127126554
686, 0, 127243636
687, 0, 125784996
688, 0, 127313644
689, 0, 132010110
690, 0, 129396975
691, 0, 128598715
692, 0, 127718083
693, 0, 128468071
694, 0, 129250848
695, 0, 140208604
696, 0, 157452291
697, 0, 131429263
698, 0, 133750840
699, 0, 168526850
700, 0, 149901780
701, 0, 206193391
702, 0, 162513786
703, 0, 133914628
704, 0, 167125293
705, 0, 153568400
706, 0, 191134128
707, 0, 169723680
708, 0, 132274703
709, 0, 158203188
710, 0, 148702993
711, 0, 131850337
712, 0, 132862740
713, 0, 130684150
714, 0, 133566621
715, 0, 133263738
716, 0, 134819320
717, 0, 133542171
718, 0, 137610036
719, 0, 133694094
720, 0, 160522694
721, 0, 143762074
722, 0, 161402769
723, 0, 136816804
724, 0, 138554973
725, 0, 136836442
726, 0, 137990116
727, 0, 137500449
728, 0, 138039618
729, 0, 141463867
730, 0, 164070192
731, 0, 140004907
732, 0, 141302761
733, 0, 142253561
734, 0, 141735151
735, 0, 140860131
736, 0, 142680820
737, 0, 141383161
738, 0, 141740666
739, 0, 142317294
740, 0, 142329834
741, 0, 144134014
742, 0, 143058002
743, 0, 142921019
744, 0, 143714768
745, 0, 143052878
746, 0, 142652557
747, 0, 142786253
748, 0, 144294023
749, 0, 145284155
750, 0, 148094474
751, 0, 145549857
752, 0, 151144601
753, 0, 149649392
754, 0, 148677473
755, 0, 149726069
756, 0, 149631819
757, 0, 151274902
758, 0, 149375143
759, 0, 150784104
760, 0, 151462426
761, 0, 151810296
762, 0, 151272423
763, 0, 151855212
