n, m, tiempoTotal
493, 0, 74433776
494, 0, 76000904
495, 0, 75544930
496, 0, 83247587
497, 0, 146529599
498, 0, 106020501
499, 0, 75189321
500, 0, 73761655
501, 0, 76716607
502, 0, 77767241
503, 0, 79104158
504, 0, 80250113
505, 0, 79092398
506, 0, 82872845
507, 0, 79992911
508, 0, 81358680
509, 0, 80838742
510, 0, 82695169
511, 0, 78904722
512, 0, 80171030
513, 0, 83384340
514, 0, 83334604
515, 0, 82002432
516, 0, 82434017
517, 0, 83978300
518, 0, 86032208
519, 0, 99283748
520, 0, 85318522
521, 0, 82800508
522, 0, 85154982
523, 0, 83511245
524, 0, 88604981
525, 0, 84211940
526, 0, 84363389
527, 0, 83736794
528, 0, 83039639
529, 0, 83051418
530, 0, 84511265
531, 0, 82340286
532, 0, 84800180
533, 0, 85368263
534, 0, 85689691
535, 0, 84378697
536, 0, 87290353
537, 0, 88606826
538, 0, 86230904
539, 0, 87427469
540, 0, 88762592
541, 0, 89044184
542, 0, 89130152
543, 0, 86377053
544, 0, 88711016
545, 0, 89229463
546, 0, 89852473
547, 0, 90409191
548, 0, 94062888
549, 0, 119204580
550, 0, 93938573
551, 0, 90254560
552, 0, 97007154
553, 0, 99611365
554, 0, 91727117
555, 0, 91021988
556, 0, 94179354
557, 0, 96649518
558, 0, 94642823
559, 0, 97405919
560, 0, 112968482
561, 0, 108758928
562, 0, 105856588
563, 0, 109961494
564, 0, 111213239
565, 0, 109626441
566, 0, 105723562
567, 0, 111730582
568, 0, 106785600
569, 0, 108180187
570, 0, 113607443
571, 0, 108471699
572, 0, 111171731
573, 0, 110534586
574, 0, 111876579
575, 0, 109576217
576, 0, 113926956
577, 0, 115717342
578, 0, 115538923
579, 0, 113727624
580, 0, 112122666
581, 0, 117200549
582, 0, 117973008
583, 0, 119595897
584, 0, 115870219
585, 0, 122648283
586, 0, 116740689
587, 0, 116828931
588, 0, 120041575
589, 0, 116570498
590, 0, 117552780
591, 0, 112888148
592, 0, 116039622
593, 0, 119006318
594, 0, 119292270
595, 0, 124275687
596, 0, 122086286
597, 0, 123294552
598, 0, 116750128
599, 0, 114710723
600, 0, 120579807
601, 0, 118780753
602, 0, 120879733
603, 0, 126573699
604, 0, 127601320
605, 0, 124264757
606, 0, 129217633
607, 0, 162758977
608, 0, 141344436
609, 0, 131436048
610, 0, 130477068
611, 0, 132980783
612, 0, 126789916
613, 0, 131406265
614, 0, 131300168
615, 0, 123503906
616, 0, 130553794
617, 0, 129344886
618, 0, 133211924
619, 0, 131871858
620, 0, 128961482
621, 0, 127259953
622, 0, 134962254
623, 0, 131843874
624, 0, 127384015
625, 0, 135467548
626, 0, 191155984
627, 0, 118396526
628, 0, 119366530
629, 0, 118472418
630, 0, 114426967
631, 0, 119995786
632, 0, 118416719
633, 0, 118502128
634, 0, 119577793
635, 0, 120460723
636, 0, 120591981
637, 0, 121113559
638, 0, 125315586
639, 0, 118391213
640, 0, 119290649
641, 0, 122095663
642, 0, 125340964
643, 0, 126735028
644, 0, 121295046
645, 0, 126186520
646, 0, 128801727
647, 0, 123274940
648, 0, 126023622
649, 0, 122972538
650, 0, 129165184
651, 0, 130021026
652, 0, 131784078
653, 0, 149382988
654, 0, 121988596
655, 0, 123184898
656, 0, 122894639
657, 0, 123139574
658, 0, 125014042
659, 0, 125793350
660, 0, 124581616
661, 0, 124323596
662, 0, 126041005
663, 0, 126019277
664, 0, 126345510
665, 0, 124524728
666, 0, 124583755
667, 0, 125018419
668, 0, 126552757
669, 0, 127682618
670, 0, 128084612
671, 0, 127672786
672, 0, 128693397
673, 0, 130277925
674, 0, 130597040
675, 0, 129622059
676, 0, 130503833
677, 0, 128654776
678, 0, 129274088
679, 0, 134367940
680, 0, 135018358
681, 0, 132930447
682, 0, 149555145
683, 0, 136967607
684, 0, 140870335
685, 0, 132456520
686, 0, 130844324
687, 0, 135718240
688, 0, 132173199
689, 0, 132722568
690, 0, 132545661
691, 0, 130421971
692, 0, 126254800
693, 0, 128896441
694, 0, 126326110
695, 0, 128011887
696, 0, 134942277
697, 0, 126354697
698, 0, 128411491
699, 0, 132264826
700, 0, 136479407
701, 0, 153297562
702, 0, 156445488
703, 0, 157743803
704, 0, 175981814
705, 0, 165576731
706, 0, 136453006
707, 0, 149403313
708, 0, 192035793
709, 0, 231625907
710, 0, 161236181
711, 0, 133072927
712, 0, 131989590
713, 0, 137511511
714, 0, 144862351
715, 0, 140094018
716, 0, 134455902
717, 0, 135803233
718, 0, 134963240
719, 0, 134746216
720, 0, 134519401
721, 0, 134883542
722, 0, 135473748
723, 0, 141266133
724, 0, 137063420
725, 0, 136599882
726, 0, 137479976
727, 0, 140159492
728, 0, 141549249
729, 0, 137933807
730, 0, 138269461
731, 0, 145800623
732, 0, 139282320
733, 0, 139845432
734, 0, 140441936
735, 0, 142113695
736, 0, 144467866
737, 0, 140982955
738, 0, 144304323
739, 0, 141455316
740, 0, 142381161
741, 0, 143143921
742, 0, 144695924
743, 0, 146923909
744, 0, 147963762
745, 0, 147848759
746, 0, 148129880
747, 0, 147834429
748, 0, 149158059
749, 0, 149396399
750, 0, 150075979
751, 0, 150102123
752, 0, 151359499
753, 0, 151042528
754, 0, 151386040
