RCL, iterations, tiempoTotal, promedioAcierto
3, 323, 42371054, 100
3, 324, 41755617, 100
3, 325, 41236493, 99.9008
3, 326, 41463794, 100
3, 327, 41318257, 100
3, 328, 41907683, 100
3, 329, 42817679, 100
3, 330, 41950181, 99.9008
3, 331, 42370267, 100
3, 332, 42336402, 100
3, 333, 43004778, 100
3, 334, 43287679, 100
3, 335, 42258992, 100
3, 336, 43182081, 100
3, 337, 42858777, 100
3, 338, 43404419, 100
3, 339, 43394198, 100
3, 340, 43258768, 100
3, 341, 43968590, 100
3, 342, 43364783, 100
3, 343, 43983893, 100
3, 344, 45531570, 100
3, 345, 45192046, 100
3, 346, 43064011, 100
3, 347, 44266782, 100
3, 348, 45029251, 100
3, 349, 43953760, 100
3, 350, 44983468, 100
3, 351, 45135040, 100
3, 352, 44615348, 100
3, 353, 45461740, 100
3, 354, 46670926, 100
3, 355, 44933040, 100
3, 356, 47625120, 100
3, 357, 45686227, 100
3, 358, 45039107, 100
3, 359, 46099904, 100
3, 360, 45550305, 99.9008
3, 361, 46204337, 100
3, 362, 45958771, 100
3, 363, 46267904, 100
3, 364, 46348170, 100
3, 365, 46081798, 100
3, 366, 46450321, 100
3, 367, 45902378, 100
3, 368, 47983407, 100
3, 369, 48135829, 99.9008
3, 370, 47671085, 100
3, 371, 46962466, 100
3, 372, 48855340, 100
3, 373, 47613051, 100
3, 374, 47156939, 100
3, 375, 48232138, 100
3, 376, 47935111, 100
3, 377, 49771246, 100
3, 378, 48573289, 100
3, 379, 49065600, 100
3, 380, 49713111, 99.9008
3, 381, 48160913, 100
3, 382, 49431429, 100
3, 383, 49387608, 100
3, 384, 49172936, 100
3, 385, 50119786, 100
3, 386, 49090221, 100
3, 387, 48984570, 99.9008
3, 388, 49162564, 100
3, 389, 49392441, 100
3, 390, 49918125, 100
3, 391, 52351812, 100
3, 392, 49961543, 100
3, 393, 50681751, 100
3, 394, 50449771, 100
3, 395, 50767517, 100
3, 396, 50618637, 100
3, 397, 51556565, 100
3, 398, 50960819, 100
3, 399, 51241303, 100
3, 400, 52025679, 99.9008
3, 401, 51640566, 100
3, 402, 51740786, 100
3, 403, 54677533, 100
3, 404, 54673251, 100
3, 405, 51765575, 100
3, 406, 52041799, 100
3, 407, 51786138, 100
3, 408, 51855015, 100
3, 409, 52490409, 100
3, 410, 52036044, 100
3, 411, 51944027, 99.9008
3, 412, 52449325, 100
3, 413, 51711016, 100
3, 414, 52919901, 100
3, 415, 54047778, 100
3, 416, 52441318, 100
3, 417, 53360395, 100
3, 418, 52919843, 100
3, 419, 54616293, 100
3, 420, 53618293, 100
3, 421, 54801546, 100
3, 422, 53959147, 100
3, 423, 54488340, 100
3, 424, 54377846, 100
3, 425, 55600143, 100
