n, m, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
200, 2041, 85, 85, 98, 403457, 22170, 25372095
200, 2061, 70, 93, 105, 298056, 32770, 26782818
200, 2081, 72, 82, 96, 242961, 24762, 27399158
200, 2101, 66, 83, 93, 239044, 33108, 19316454
200, 2121, 84, 97, 99, 322225, 26249, 24951076
200, 2141, 79, 83, 101, 321404, 21499, 26491302
200, 2161, 76, 83, 115, 315482, 21634, 24967427
200, 2181, 85, 97, 106, 313029, 24083, 27604634
200, 2201, 84, 84, 106, 339575, 22282, 20019835
200, 2221, 90, 90, 107, 214641, 16009, 18588347
200, 2241, 79, 79, 103, 209832, 15493, 17737756
200, 2261, 83, 83, 114, 343051, 20829, 28163518
200, 2281, 82, 95, 111, 354973, 28862, 28998138
200, 2301, 75, 89, 113, 445042, 27329, 28998851
200, 2321, 72, 80, 119, 269465, 16642, 19524521
200, 2341, 89, 94, 110, 198791, 29522, 23173276
200, 2361, 102, 109, 118, 201664, 18312, 19764903
200, 2381, 80, 85, 110, 199798, 16530, 19111083
200, 2401, 84, 98, 117, 200695, 20917, 18598626
200, 2421, 92, 104, 120, 253377, 23741, 22787556
200, 2441, 96, 101, 114, 210590, 19532, 20841875
200, 2461, 89, 98, 122, 340625, 24055, 28195826
200, 2481, 91, 103, 119, 202314, 22439, 20028077
200, 2501, 85, 85, 119, 204977, 15871, 19654862
200, 2521, 88, 107, 124, 218211, 24864, 20964519
200, 2541, 94, 110, 125, 266981, 30832, 23650745
200, 2561, 93, 107, 123, 459841, 28108, 29426414
200, 2581, 98, 109, 132, 348901, 29504, 32854728
200, 2601, 88, 106, 124, 1248020, 31532, 31042533
200, 2621, 93, 107, 127, 268299, 25535, 24670615
200, 2641, 101, 115, 137, 403613, 31038, 25096509
200, 2661, 99, 115, 137, 393385, 26545, 26049704
200, 2681, 93, 105, 136, 367335, 24616, 28576389
200, 2701, 109, 135, 135, 300323, 30345, 30576997
200, 2721, 103, 121, 148, 253448, 24790, 24646651
200, 2741, 101, 101, 131, 213925, 15688, 21043180
200, 2761, 107, 139, 149, 266991, 31602, 26508277
200, 2781, 98, 98, 147, 217105, 15750, 21540128
200, 2801, 110, 119, 139, 259259, 17351, 21916917
200, 2821, 113, 139, 143, 271171, 25036, 28452802
200, 2841, 104, 117, 141, 231049, 22245, 22509905
200, 2861, 101, 107, 141, 278397, 20000, 25372813
200, 2881, 107, 122, 154, 419866, 26688, 34504206
200, 2901, 120, 137, 148, 458450, 28279, 38187773
200, 2921, 111, 119, 150, 435404, 27255, 36581342
200, 2941, 111, 141, 159, 496639, 37164, 38571103
200, 2961, 114, 142, 144, 253476, 22314, 26278492
200, 2981, 106, 140, 158, 230823, 26868, 23344369
200, 3001, 105, 124, 163, 303643, 21773, 24103383
200, 3021, 112, 130, 149, 256829, 25502, 24972177
200, 3041, 105, 105, 150, 234923, 16161, 23338436
200, 3061, 107, 126, 158, 629618, 29270, 25085269
200, 3081, 113, 129, 152, 360667, 24256, 24171290
200, 3101, 111, 140, 164, 239372, 23954, 23891014
200, 3121, 130, 150, 168, 406085, 29073, 28212046
200, 3141, 113, 148, 168, 343841, 32919, 26026915
200, 3161, 114, 129, 174, 252697, 21274, 28315207
