n, m, fronteraExacto, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
703, 246753, 123552, 123552, 123552, 123552, 56697285, 47587, 2147031948
708, 250278, 125316, 125316, 125316, 125316, 56513883, 45752, 2187127446
713, 253828, 127092, 127092, 127092, 127092, 58707582, 39633, 2232990723
718, 257403, 128881, 128881, 128881, 128881, 64783561, 45999, 2275646332
723, 261003, 130682, 130682, 130682, 130682, 61773986, 50844, 2333642565
728, 264628, 132496, 132496, 132496, 132496, 61808944, 39288, 2456681090
733, 268278, 134322, 134322, 134322, 134322, 61705363, 40425, 2326580304
738, 271953, 136161, 136161, 136161, 136161, 61003405, 42318, 2475936136
743, 275653, 138012, 138012, 138012, 138012, 63394781, 46522, 2447946875
748, 279378, 139876, 139876, 139876, 139876, 64145893, 41623, 2486993236
753, 283128, 141752, 141752, 141752, 141752, 64602420, 40273, 2463021707
758, 286903, 143641, 143641, 143641, 143641, 64532649, 41366, 2484755893
763, 290703, 145542, 145542, 145542, 145542, 68591335, 44587, 2638415886
768, 294528, 147456, 147456, 147456, 147456, 67364915, 51897, 2779711827
773, 298378, 149382, 149382, 149382, 149382, 78868003, 49113, 2848807141
778, 302253, 151321, 151321, 151321, 151321, 82492540, 45434, 2685304727
783, 306153, 153272, 153272, 153272, 153272, 78393569, 61883, 2797771597
788, 310078, 155236, 155236, 155236, 155236, 88553045, 50629, 2879648920
793, 314028, 157212, 157212, 157212, 157212, 71166649, 52735, 3017915751
798, 318003, 159201, 159201, 159201, 159201, 76891677, 43523, 2905742981
803, 322003, 161202, 161202, 161202, 161202, 71817332, 51608, 2860994030
808, 326028, 163216, 163216, 163216, 163216, 76388913, 44158, 2897138429
813, 330078, 165242, 165242, 165242, 165242, 77017096, 44237, 2856622106
818, 334153, 167281, 167281, 167281, 167281, 91997114, 58616, 2992293495
823, 338253, 169332, 169332, 169332, 169332, 77647055, 51356, 3038212231
828, 342378, 171396, 171396, 171396, 171396, 78726101, 45353, 3065121360
833, 346528, 173472, 173472, 173472, 173472, 85783538, 55234, 3117417903
838, 350703, 175561, 175561, 175561, 175561, 80769612, 46079, 3039047046
843, 354903, 177662, 177662, 177662, 177662, 82322570, 48670, 3103805447
848, 359128, 179776, 179776, 179776, 179776, 82600957, 46353, 3171850563
853, 363378, 181902, 181902, 181902, 181902, 85675117, 45348, 3368716241
858, 367653, 184041, 184041, 184041, 184041, 98962669, 45896, 3293703552
863, 371953, 186192, 186192, 186192, 186192, 84071654, 55341, 3308483366
868, 376278, 188356, 188356, 188356, 188356, 85480137, 48194, 3255953227
873, 380628, 190532, 190532, 190532, 190532, 104094734, 47063, 3671129383
878, 385003, 192721, 192721, 192721, 192721, 109956583, 54207, 4013018969
883, 389403, 194922, 194922, 194922, 194922, 124101249, 67370, 4138460584
888, 393828, 197136, 197136, 197136, 197136, 107079716, 74160, 3597884214
893, 398278, 199362, 199362, 199362, 199362, 94437636, 48585, 3712240064
898, 402753, 201601, 201601, 201601, 201601, 93427937, 53431, 3528524286
903, 407253, 203852, 203852, 203852, 203852, 96203164, 53581, 3776789362
908, 411778, 206116, 206116, 206116, 206116, 104799664, 49642, 3861996235
913, 416328, 208392, 208392, 208392, 208392, 97763417, 57144, 4057220412
918, 420903, 210681, 210681, 210681, 210681, 97557571, 53944, 3982259264
